sample	AfElphSD3	Armadillo	BaboonSTL	BigHornSD	BlackBr2	BlackLemur	BlackRhino1	BushDog1	Callimicos	Capybara	Chimp1	Colobus	CRBM.05	Gazelle3	Giraffe2	GorillaSTL	Horse1	Hyena2	HyraxSTL	Kroo3	Lion1	Okapi2	Orang1	PolarBr2	Rabbit	RTLemur	Saki	SpecBr2	SpgbkW	Squirrel	Urial2	VWPig	ZebraSTL1
Chimp1	92.736184954957	86.0232526704263	78.7400787401181	92.736184954957	20	50.9901951359278	92.736184954957	120.830459735946	44.7213595499958	78.7400787401181	0	50.9901951359278	0	92.736184954957	92.736184954957	78.7400787401181	92.736184954957	120.830459735946	92.736184954957	92.736184954957	113.137084989848	92.736184954957	37.4165738677394	113.137084989848	92.736184954957	24.4948974278318	44.7213595499958	24.4948974278318	92.736184954957	46.9041575982343	92.736184954957	69.2820323027551	92.736184954957
Colobus	42.4264068711929	106.770782520313	34.6410161513775	42.4264068711929	46.9041575982343	0	42.4264068711929	125.698050899765	83.6660026534076	28.2842712474619	50.9901951359278	0	50.9901951359278	42.4264068711929	42.4264068711929	28.2842712474619	42.4264068711929	125.698050899765	42.4264068711929	42.4264068711929	118.321595661992	42.4264068711929	87.1779788708135	118.321595661992	42.4264068711929	70.7106781186548	50.9901951359278	70.7106781186548	42.4264068711929	50.9901951359278	42.4264068711929	37.4165738677394	42.4264068711929
CRBM.05	92.736184954957	86.0232526704263	78.7400787401181	92.736184954957	20	50.9901951359278	92.736184954957	120.830459735946	44.7213595499958	78.7400787401181	0	50.9901951359278	0	92.736184954957	92.736184954957	78.7400787401181	92.736184954957	120.830459735946	92.736184954957	92.736184954957	113.137084989848	92.736184954957	37.4165738677394	113.137084989848	92.736184954957	24.4948974278318	44.7213595499958	24.4948974278318	92.736184954957	46.9041575982343	92.736184954957	69.2820323027551	92.736184954957
Gazelle3	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
Giraffe2	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
GorillaSTL	14.142135623731	120.830459735946	20	14.142135623731	73.4846922834953	28.2842712474619	14.142135623731	134.90737563232	106.770782520313	0	78.7400787401181	28.2842712474619	78.7400787401181	14.142135623731	14.142135623731	0	14.142135623731	134.90737563232	14.142135623731	14.142135623731	128.062484748657	14.142135623731	114.891252930761	128.062484748657	14.142135623731	98.9949493661167	70.7106781186548	98.9949493661167	14.142135623731	67.8232998312527	14.142135623731	37.4165738677394	14.142135623731
Horse1	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
Hyena2	141.42135623731	129.614813968157	128.840987267251	141.42135623731	107.70329614269	125.698050899765	141.42135623731	0	119.16375287813	134.90737563232	120.830459735946	125.698050899765	120.830459735946	141.42135623731	141.42135623731	134.90737563232	141.42135623731	0	141.42135623731	141.42135623731	14.142135623731	141.42135623731	128.840987267251	14.142135623731	141.42135623731	129.614813968157	82.4621125123532	129.614813968157	141.42135623731	110.453610171873	141.42135623731	118.321595661992	141.42135623731
HyraxSTL	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
Kroo3	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
